MLS_Num,Address,City,Original_Price,List_Date,Days_On_Market,Living_SQFT,Status,List_Price,Land_SQFT,Type,Closing_Date,Sold_Price,Zip
397382,490 and 497 Lilihua Pl,Wailuku,5500000,44880,315,2640,SLD,4495000,198198,SFD,45195,3500000,96793
400649,52 Papio Way,Haiku,4400000,45283,186,3365,SLD,3800000,117438,SF,45469,3500000,96708
400719,301 Paani Pl,Paia,3950000,45290,76,2428,SLD,3950000,24973,SF,45366,3690000,96779
403366,1000 Kai Poi Pl,Haiku,3695000,45539,7,2117,PO,3695000,400752,SF,,,96708
402802,11 Piina Pl,Lahaina,3899000,45478,68,4026,ACT,3700000,6708,SF,,,96761
401561,148 AWALAU Rd,Haiku,3800000,45370,176,2799,PNDNS,3800000,2787840,SFD,,,96708-0000
399184,81 Maika St,Wailuku,3850000,45097,449,4171,ACT,3850000,120226,SF,,,96793
399268,31 Ohia Lehua Pl,Pukalani,3950000,45107,145,3898,SLD,3950000,38555,SF,45252,3850000,96768
402686,21 Hulumanu Pl,Wailuku,3950000,45444,102,3827,ACT,3950000,113387,SFD,,,96793
402891,1600 Lower Nahiku Rd,Hana,3995000,45488,58,3200,ACT,3995000,649044,SFD,,,96713
400882,440 W Waiko Rd,Wailuku,3995000,45307,104,2338,SLD,3995000,863621,SFD,45411,3996000,96793
401956,4950 Uakea Rd,Hana,5000000,45304,242,2332,ACT,4200000,43081,SF,,,96713
400070,78 Hui Rd,Lahaina,4395000,45222,324,2728,ACT,4395000,12484,SFD,,,96761
400590,2450 Piiholo Rd,Makawao,4950000,45278,268,3229,ACT,4450000,442134,SFD,,,96768-7217
402190,654 Kaupakalua Rd,Haiku,4500000,45427,119,998,ACT,4500000,1208790,SF,,,96768
401303,3251 Aina Mahiai Pl,Lahaina,4995000,45348,198,2698,ACT,4595000,204122,SF,,,96761
402661,150 Hohani Pl,Haiku,4599000,45464,82,2811,ACT,4599000,87120,SFD,,,96708
398230,51 Kapohue Rd,Hana,5000000,44984,562,3295,ACT,4599000,47916,SF,,,96713
403022,592 Hapapa Rd,Kula,4900000,45502,44,3858,ACT,4900000,104980,SFD,,,96790
401626,62 Opalipali Pl,Kula,5995000,45376,165,3150,SLD,4995000,242063,SFD,45541,4995000,96790
402750,95 B Hana Hwy,Paia,5000000,45474,72,2224,ACT,5000000,6042,SF,,,96779
400047,10 HUI Road E,Lahaina,5500000,45219,327,3175,ACT,5350000,14985,SF,,,96761
391819,3651 Omaopio Rd,Kula,6500000,44356,846,2498,SLD,5900000,1837361,SF,45202,5400000,96790-8871
402256,519 Hana Hwy,Paia,6950000,45432,114,1309,ACT,5450000,15172,SFD,,,96779
402627,257 Hokiokio Pl,Lahaina,5800000,45462,84,3556,ACT,5800000,481773,SF,,,96761
400161,248 Piliwale Rd,Kula,5999000,45233,313,1656,ACT,5999000,196020,SFD,,,96790
402969,454 Hoolawa Rd,Haiku,6400000,45495,51,2118,ACT,6400000,87120,SF,,,96708
401012,3068 S Kihei Rd,Kihei,6750000,45320,226,3251,PNDNS,6750000,10097,SF,,,96753
398459,1598 HALAMA St,Kihei,6750000,45012,534,1374,ACT,6750000,16409,SFD,,,96753
398461,1606 HALAMA St,Kihei,6750000,45012,534,1724,ACT,6750000,16296,SFD,,,96753
398904,14830 Haleakala Hwy,Kula,7250000,45063,162,2887,SLD,7250000,313131,SFD,45225,6850000,96790
